symbol,date
0GUSDC,2025-11-22
0GUSDT,2025-11-22
1000CATUSDT,2025-11-22
1000CHEEMSUSDT,2025-11-22
1000SATSUSDT,2025-11-22
1INCHUSDT,2025-11-22
1MBABYDOGEUSDT,2025-11-22
2ZUSDC,2025-11-22
2ZUSDT,2025-11-22
A2ZUSDT,2025-11-22
AAVEUSDC,2025-11-22
AAVEUSDT,2025-11-22
ACAUSDT,2025-11-22
ACEUSDT,2025-11-22
ACHUSDT,2025-11-22
ACMUSDT,2025-11-22
ACTUSDT,2025-11-22
ACXUSDT,2025-11-22
ADAUSDC,2025-11-22
ADAUSDT,2025-11-22
ADXUSDT,2025-11-22
AEVOUSDT,2025-11-22
AGLDUSDT,2025-11-22
AIUSDT,2025-11-22
AIXBTUSDT,2025-11-22
ALCXUSDT,2025-11-22
ALGOUSDC,2025-11-22
ALGOUSDT,2025-11-22
ALICEUSDT,2025-11-22
ALLOUSDC,2025-11-22
ALLOUSDT,2025-11-22
ALPINEUSDT,2025-11-22
ALTUSDC,2025-11-22
ALTUSDT,2025-11-22
AMPUSDT,2025-11-22
ANIMEUSDC,2025-11-22
ANIMEUSDT,2025-11-22
ANKRUSDT,2025-11-22
APEUSDT,2025-11-22
API3USDT,2025-11-22
APTUSDC,2025-11-22
APTUSDT,2025-11-22
ARBUSDC,2025-11-22
ARBUSDT,2025-11-22
ARKMUSDC,2025-11-22
ARKMUSDT,2025-11-22
ARKUSDT,2025-11-22
ARPAUSDT,2025-11-22
ARUSDC,2025-11-22
ARUSDT,2025-11-22
ASRUSDT,2025-11-22
ASTERUSDC,2025-11-22
ASTERUSDT,2025-11-22
ASTRUSDT,2025-11-22
ATAUSDT,2025-11-22
ATMUSDT,2025-11-22
ATOMUSDC,2025-11-22
ATOMUSDT,2025-11-22
AUCTIONUSDT,2025-11-22
AUDIOUSDT,2025-11-22
AUSDT,2025-11-22
AVAUSDT,2025-11-22
AVAXUSDC,2025-11-22
AVAXUSDT,2025-11-22
AVNTUSDC,2025-11-22
AVNTUSDT,2025-11-22
AWEUSDT,2025-11-22
AXLUSDT,2025-11-22
AXSUSDT,2025-11-22
BABYUSDT,2025-11-22
BANANAS31USDC,2025-11-22
BANANAS31USDT,2025-11-22
BANANAUSDT,2025-11-22
BANDUSDT,2025-11-22
BANKUSDC,2025-11-22
BANKUSDT,2025-11-22
BARDUSDT,2025-11-22
BARUSDT,2025-11-22
BATUSDT,2025-11-22
BBUSDT,2025-11-22
BCHUSDC,2025-11-22
BCHUSDT,2025-11-22
BEAMXUSDT,2025-11-22
BELUSDT,2025-11-22
BERAUSDC,2025-11-22
BERAUSDT,2025-11-22
BFUSDUSDT,2025-11-22
BICOUSDT,2025-11-22
BIGTIMEUSDT,2025-11-22
BIOUSDC,2025-11-22
BIOUSDT,2025-11-22
BLURUSDT,2025-11-22
BMTUSDT,2025-11-22
BNBUSDC,2025-11-22
BNBUSDT,2025-11-22
BNSOLUSDT,2025-11-22
BNTUSDT,2025-11-22
BOMEUSDC,2025-11-22
BOMEUSDT,2025-11-22
BONKUSDC,2025-11-22
BONKUSDT,2025-11-22
BROCCOLI714USDT,2025-11-22
BTCUSDC,2025-11-22
BTCUSDT,2025-11-22
BTTCUSDT,2025-11-22
C98USDT,2025-11-22
CAKEUSDC,2025-11-22
CAKEUSDT,2025-11-22
CATIUSDT,2025-11-22
CELOUSDT,2025-11-22
CELRUSDT,2025-11-22
CETUSUSDC,2025-11-22
CETUSUSDT,2025-11-22
CFXUSDC,2025-11-22
CFXUSDT,2025-11-22
CGPTUSDT,2025-11-22
CHESSUSDT,2025-11-22
CHRUSDT,2025-11-22
CHZUSDC,2025-11-22
CHZUSDT,2025-11-22
CITYUSDT,2025-11-22
CKBUSDT,2025-11-22
COMPUSDT,2025-11-22
COOKIEUSDT,2025-11-22
COSUSDT,2025-11-22
COTIUSDT,2025-11-22
COWUSDT,2025-11-22
CRVUSDC,2025-11-22
CRVUSDT,2025-11-22
CTKUSDT,2025-11-22
CTSIUSDT,2025-11-22
CUSDT,2025-11-22
CVCUSDT,2025-11-22
CVXUSDT,2025-11-22
CYBERUSDT,2025-11-22
DASHUSDC,2025-11-22
DASHUSDT,2025-11-22
DATAUSDT,2025-11-22
DCRUSDT,2025-11-22
DEGOUSDT,2025-11-22
DENTUSDT,2025-11-22
DEXEUSDT,2025-11-22
DFUSDT,2025-11-22
DGBUSDT,2025-11-22
DIAUSDT,2025-11-22
DODOUSDT,2025-11-22
DOGEUSDC,2025-11-22
DOGEUSDT,2025-11-22
DOGSUSDT,2025-11-22
DOLOUSDC,2025-11-22
DOLOUSDT,2025-11-22
DOTUSDC,2025-11-22
DOTUSDT,2025-11-22
DUSDT,2025-11-22
DUSKUSDT,2025-11-22
DYDXUSDC,2025-11-22
DYDXUSDT,2025-11-22
DYMUSDT,2025-11-22
EDENUSDC,2025-11-22
EDENUSDT,2025-11-22
EDUUSDT,2025-11-22
EGLDUSDC,2025-11-22
EGLDUSDT,2025-11-22
EIGENUSDC,2025-11-22
EIGENUSDT,2025-11-22
ENAUSDC,2025-11-22
ENAUSDT,2025-11-22
ENJUSDT,2025-11-22
ENSOUSDC,2025-11-22
ENSOUSDT,2025-11-22
ENSUSDT,2025-11-22
EPICUSDC,2025-11-22
EPICUSDT,2025-11-22
